id;title;author;publication_year;genre;price;quantity_in_stock
1;Mesa Peixe;Dynamic programming;17159;real-time;98206;89889
2;Lilangeni transmit synthesizing;Concreto Mouse;51293;Designer connect;55737;30968
3;ADP synthesizing Developer;Representative parsing;26287;driver Macio Livros;74488;60548
4;bleeding-edge Ceará Genérico;Mouse programming cross-platform;97887;XML Developer Peixe;45473;64192
5;payment Sapatos;grow Frango generate;47825;Ferramentas CSS;76477;36267
6;Escudo;Account;73421;SQL Product;92808;62680
7;Livros transmitter;next-generation;93660;channels;52221;23973
8;Sapatos Director Paraíba;primary e-tailers;40862;violeta monitor Acre;57315;71873
9;Argentina solid;calculate withdrawal;5998;Account Andorra índigo;88197;70417
10;Planner EXE Paraná;payment optical channels;10023;Quality;41132;58638
